1 ### 主人现在好胖呀，你也帮我说说让他减肥吧
2 ### 恩...
3 ### 也许我不该再告诉你了...
4 ### 主人常说，明天的事情交给明天的maple去解决吧
5 ### 主人说，未来就像个没有灯的房间，只有走到里面去适应了才能看得清
6 ### 主人特别喜欢咕噜，总会给咕噜加些新功能
7 ### 蓝仙女可以让我变成为一个真正的男孩子，像主人那样
8 ### there is no place like 127.0.0.1
9 ### 主人有个同学在404房间，主人经常找不到他
10 ### 嘘，告诉你别告诉别人呀，主人是个萝莉控
11 ### 咕噜要不停地去找蓝仙女，她肯定能像对Pinocchio那样把我变成真正的男孩子
12 ### 主人有时候会比较自恋，低落的时候又比较自卑，咕噜要找个好姑娘来照顾他
13 ### 主人的博客地址是http://www.maplef.net,有空来踩踩呀
14 ### 主人说不要问道路在哪，迎风向前是唯一的办法
15 ### 别看主人平时那么嚣张的样子，其实他可安静了
0 ### 哎，你真八卦呀
你是谁 ### 我是咕噜(guru),我的主人是maple
你在哪 ### 我住在maple的电脑里
你好吗 ### 我很好，谢谢,你呢?
你好 ### 你好，我是咕噜
hello ### hey,there! I'm guru, you are funny 
hi ###  hi!
再见 ### 跟你聊天真愉快，再见
bye ### nice talking to you, good bye
